		 DefaultPropeller_Geometry.txt 

		 Propeller Geometry Table

Date and time: 12-Apr-2019

Propeller Diameter 	 = 0.3500 m
Number of Blades   	 = 2
Propeller Speed 	 = 2400 RPM
Propeller Hub Diameter 	 = 0.0500 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.1429  0.0485  0.7406  0.0354  0.4640  45.9523  0.0000  0.0000
0.2101  0.0426  0.7594  0.0337  0.4659  35.2150  0.0000  0.0000
0.2769  0.0394  0.7403  0.0320  0.4677  28.2583  0.0000  0.0000
0.3430  0.0367  0.7145  0.0303  0.4690  23.5252  0.0000  0.0000
0.4077  0.0346  0.6817  0.0287  0.4702  20.1572  0.0000  0.0000
0.4709  0.0328  0.6387  0.0271  0.4712  17.6676  0.0000  0.0000
0.5320  0.0314  0.5907  0.0255  0.4719  15.7688  0.0000  0.0000
0.5907  0.0302  0.5408  0.0240  0.4725  14.2850  0.0000  0.0000
0.6467  0.0292  0.4917  0.0226  0.4729  13.1032  0.0000  0.0000
0.6995  0.0282  0.4444  0.0212  0.4731  12.1483  0.0000  0.0000
0.7489  0.0271  0.3989  0.0200  0.4731  11.3689  0.0000  0.0000
0.7946  0.0259  0.3581  0.0188  0.4730  10.7287  0.0000  0.0000
0.8363  0.0245  0.3250  0.0178  0.4728  10.2014  0.0000  0.0000
0.8737  0.0228  0.2985  0.0168  0.4725   9.7678  0.0000  0.0000
0.9066  0.0205  0.2875  0.0160  0.4722   9.4138  0.0000  0.0000
0.9348  0.0183  0.2717  0.0153  0.4719   9.1285  0.0000  0.0000
0.9580  0.0156  0.2484  0.0147  0.4715   8.9040  0.0000  0.0000
0.9763  0.0118  0.2422  0.0142  0.4713   8.7354  0.0000  0.0000
0.9894  0.0077  0.2664  0.0139  0.4711   8.6186  0.0000  0.0000
0.9974  0.0037  0.4155  0.0137  0.4711   8.5500  0.0000  0.0000
1.0000  0.0000  18082461421851.7383  0.0136  0.4710   8.5274  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
